IP,ASN,TIME,ID,DESC
"80.79.113.247","AS34702","2017-08-29T04:40:07.577389","1","Heartbleed"
"165.231.163.27","AS63119","2017-08-29T04:36:52.863110","1","Heartbleed"
"165.231.175.163",,"2017-08-29T04:33:48.037654","1","Heartbleed"
"165.231.163.62","AS63119","2017-08-29T04:29:34.716788","1","Heartbleed"
"165.231.165.11","AS63119","2017-08-29T04:28:41.671017","1","Heartbleed"
"165.231.174.131",,"2017-08-29T04:26:37.142352","1","Heartbleed"
"185.169.71.201",,"2017-08-29T04:24:34.359130","1","Heartbleed"
"196.196.217.196","AS63119","2017-08-29T04:23:15.153479","1","Heartbleed"
"165.231.165.36","AS63119","2017-08-29T04:22:57.899161","1","Heartbleed"
"196.196.217.190","AS63119","2017-08-29T04:18:30.507048","1","Heartbleed"
"196.196.217.29","AS63119","2017-08-29T04:17:48.533291","1","Heartbleed"
"196.196.217.43","AS63119","2017-08-29T04:17:17.430257","1","Heartbleed"
"165.231.174.5",,"2017-08-29T04:16:08.122789","1","Heartbleed"
"165.231.172.104",,"2017-08-29T04:13:59.547525","1","Heartbleed"
"196.196.216.54","AS63119","2017-08-29T04:10:43.721894","1","Heartbleed"
"196.196.218.114","AS63119","2017-08-29T04:09:43.485056","1","Heartbleed"
"165.231.171.148",,"2017-08-29T04:07:33.587536","1","Heartbleed"
"80.79.113.36","AS34702","2017-08-29T04:06:44.335019","1","Heartbleed"
"165.231.173.52",,"2017-08-29T04:06:37.689845","1","Heartbleed"
"196.196.216.172","AS63119","2017-08-29T04:05:01.509699","1","Heartbleed"
"165.231.171.170",,"2017-08-29T04:05:00.573046","1","Heartbleed"
"196.196.223.84",,"2017-08-29T04:03:49.082355","1","Heartbleed"
"80.79.113.42","AS34702","2017-08-29T04:01:31.019898","1","Heartbleed"
"196.196.217.97","AS63119","2017-08-29T04:01:19.346978","1","Heartbleed"
"196.196.218.89","AS63119","2017-08-29T03:55:21.649356","1","Heartbleed"
"196.196.217.201","AS63119","2017-08-29T03:53:37.749966","1","Heartbleed"
"165.231.163.3","AS63119","2017-08-29T03:53:27.487579","1","Heartbleed"
"196.196.217.83","AS63119","2017-08-29T03:51:00.904708","1","Heartbleed"
"165.231.173.166",,"2017-08-29T03:48:04.125026","1","Heartbleed"
"165.231.172.225",,"2017-08-29T03:47:35.899040","1","Heartbleed"
"196.196.223.141",,"2017-08-29T03:42:27.802053","1","Heartbleed"
"196.196.223.77",,"2017-08-29T03:41:26.118691","1","Heartbleed"
"165.231.172.149",,"2017-08-29T03:39:55.025663","1","Heartbleed"
"165.231.172.254",,"2017-08-29T03:39:20.408418","1","Heartbleed"
"196.196.217.195","AS63119","2017-08-29T03:39:09.747970","1","Heartbleed"
"165.231.171.219",,"2017-08-29T03:37:20.607705","1","Heartbleed"
"185.169.68.26",,"2017-08-29T03:37:07.057234","1","Heartbleed"
"196.196.221.145","AS63119","2017-08-29T03:35:27.959309","1","Heartbleed"
"165.231.163.174","AS63119","2017-08-29T03:35:22.400612","1","Heartbleed"
"165.231.163.182","AS63119","2017-08-29T03:35:13.371078","1","Heartbleed"
"165.231.171.230",,"2017-08-29T03:34:28.843221","1","Heartbleed"
"196.196.219.5","AS63119","2017-08-29T03:32:32.379569","1","Heartbleed"
"196.196.221.119","AS63119","2017-08-29T03:31:49.900543","1","Heartbleed"
"185.43.105.235","AS198632","2017-08-29T03:28:23.719044","1","Heartbleed"
"196.196.216.205","AS63119","2017-08-29T03:26:43.898829","1","Heartbleed"
"196.196.216.2","AS63119","2017-08-29T03:23:37.062069","1","Heartbleed"
"196.196.216.136","AS63119","2017-08-29T03:23:22.440464","1","Heartbleed"
"165.231.163.143","AS63119","2017-08-29T03:22:06.548083","1","Heartbleed"
"165.231.163.98","AS63119","2017-08-29T03:21:44.867547","1","Heartbleed"
"165.231.171.137",,"2017-08-29T03:19:14.234696","1","Heartbleed"
"196.196.221.75","AS63119","2017-08-29T03:17:52.814567","1","Heartbleed"
"165.231.163.36","AS63119","2017-08-29T03:16:03.032387","1","Heartbleed"
"165.231.173.138",,"2017-08-29T03:15:19.944871","1","Heartbleed"
"188.92.162.222","AS39823","2017-08-29T03:13:44.281072","1","Heartbleed"
"196.196.221.184","AS63119","2017-08-29T03:12:08.200184","1","Heartbleed"
"165.231.175.149",,"2017-08-29T03:12:02.671485","1","Heartbleed"
"165.231.165.16","AS63119","2017-08-29T03:06:15.765800","1","Heartbleed"
"196.196.218.215","AS63119","2017-08-29T03:05:51.176190","1","Heartbleed"
"165.231.162.139","AS63119","2017-08-29T03:05:13.109959","1","Heartbleed"
"165.231.163.76","AS63119","2017-08-29T03:02:52.947958","1","Heartbleed"
"165.231.162.211","AS63119","2017-08-29T02:59:53.549588","1","Heartbleed"
"196.196.223.69",,"2017-08-29T02:57:47.007724","1","Heartbleed"
"196.196.216.100","AS63119","2017-08-29T02:55:58.204757","1","Heartbleed"
"165.231.172.230",,"2017-08-29T02:51:51.145828","1","Heartbleed"
"165.231.162.61","AS63119","2017-08-29T02:51:46.682852","1","Heartbleed"
"196.196.217.165","AS63119","2017-08-29T02:51:43.607352","1","Heartbleed"
"196.196.223.171",,"2017-08-29T02:49:40.545698","1","Heartbleed"
"165.231.174.236",,"2017-08-29T02:45:16.757923","1","Heartbleed"
"165.231.165.37","AS63119","2017-08-29T02:34:27.078878","1","Heartbleed"
"165.231.171.178",,"2017-08-29T02:05:44.260775","1","Heartbleed"
"165.231.162.105","AS63119","2017-08-29T02:05:34.216175","1","Heartbleed"
"165.231.163.46","AS63119","2017-08-29T00:34:58.114525","1","Heartbleed"
"196.196.219.208","AS63119","2017-08-28T21:50:11.889393","1","Heartbleed"
"165.231.174.48",,"2017-08-28T21:24:19.499142","1","Heartbleed"
"165.231.174.108",,"2017-08-28T21:05:47.063121","1","Heartbleed"
"196.196.217.221","AS63119","2017-08-28T20:36:57.560390","1","Heartbleed"
"165.231.175.169",,"2017-08-28T16:37:53.228224","1","Heartbleed"
"196.196.217.136","AS63119","2017-08-28T16:36:56.020243","1","Heartbleed"
"196.196.223.118",,"2017-08-28T16:35:15.647593","1","Heartbleed"
"196.196.217.81","AS63119","2017-08-28T16:33:57.239878","1","Heartbleed"
"165.231.174.19",,"2017-08-28T16:33:46.017135","1","Heartbleed"
"185.43.105.234","AS198632","2017-08-28T16:31:36.877548","1","Heartbleed"
"196.196.216.238","AS63119","2017-08-28T16:30:53.873962","1","Heartbleed"
"165.231.172.151",,"2017-08-28T16:30:34.633502","1","Heartbleed"
"196.196.223.115",,"2017-08-28T16:29:59.369062","1","Heartbleed"
"185.169.70.20",,"2017-08-28T16:27:33.388688","1","Heartbleed"
"196.196.219.167","AS63119","2017-08-28T16:25:28.605240","1","Heartbleed"
"165.231.162.185","AS63119","2017-08-28T16:24:27.168244","1","Heartbleed"
"165.231.173.82",,"2017-08-28T16:23:53.421359","1","Heartbleed"
"165.231.175.66",,"2017-08-28T16:19:55.104791","1","Heartbleed"
"196.196.218.217","AS63119","2017-08-28T16:17:15.172034","1","Heartbleed"
"165.231.172.83",,"2017-08-28T16:16:57.245612","1","Heartbleed"
"165.231.172.171",,"2017-08-28T16:14:46.607790","1","Heartbleed"
"165.231.172.200",,"2017-08-28T16:12:44.514778","1","Heartbleed"
"165.231.174.252",,"2017-08-28T16:12:43.522605","1","Heartbleed"
"165.231.163.131","AS63119","2017-08-28T16:11:32.167328","1","Heartbleed"
"165.231.165.5","AS63119","2017-08-28T16:03:52.852450","1","Heartbleed"
"165.231.162.24","AS63119","2017-08-28T15:57:15.232926","1","Heartbleed"
"196.196.216.222","AS63119","2017-08-28T15:53:32.703826","1","Heartbleed"
"165.231.174.61",,"2017-08-28T15:53:03.724141","1","Heartbleed"
"165.231.162.170","AS63119","2017-08-28T15:50:07.842656","1","Heartbleed"
"165.231.173.81",,"2017-08-28T15:49:46.164033","1","Heartbleed"
"165.231.163.186","AS63119","2017-08-28T15:49:11.064734","1","Heartbleed"
"196.196.223.126",,"2017-08-28T15:42:25.769443","1","Heartbleed"
"196.196.223.139",,"2017-08-28T15:41:56.839565","1","Heartbleed"
"196.196.218.154","AS63119","2017-08-28T15:40:43.403446","1","Heartbleed"
"165.231.165.10","AS63119","2017-08-28T15:39:03.161025","1","Heartbleed"
"196.196.219.251","AS63119","2017-08-28T15:31:52.879071","1","Heartbleed"
"165.231.172.206",,"2017-08-28T15:31:10.720442","1","Heartbleed"
"196.196.223.167",,"2017-08-28T15:27:19.565375","1","Heartbleed"
"196.196.216.238","AS63119","2017-08-28T15:26:10.000940","1","Heartbleed"
"165.231.163.16","AS63119","2017-08-28T15:20:06.855646","1","Heartbleed"
"196.196.218.178","AS63119","2017-08-28T15:19:51.251601","1","Heartbleed"
"196.196.216.229","AS63119","2017-08-28T15:18:22.130355","1","Heartbleed"
"165.231.172.194",,"2017-08-28T15:17:27.692520","1","Heartbleed"
"165.231.174.54",,"2017-08-28T15:16:29.240725","1","Heartbleed"
"165.231.174.13",,"2017-08-28T15:15:27.793330","1","Heartbleed"
"196.196.217.52","AS63119","2017-08-28T15:15:22.157548","1","Heartbleed"
"165.231.163.47","AS63119","2017-08-28T15:14:14.343695","1","Heartbleed"
"196.196.217.3","AS63119","2017-08-28T15:13:40.275277","1","Heartbleed"
"196.196.217.120","AS63119","2017-08-28T15:13:39.882299","1","Heartbleed"
"196.196.218.240","AS63119","2017-08-28T15:11:26.071030","1","Heartbleed"
"196.196.217.223","AS63119","2017-08-28T15:09:26.009628","1","Heartbleed"
"196.196.217.181","AS63119","2017-08-28T15:09:14.321964","1","Heartbleed"
"185.169.70.9",,"2017-08-28T15:08:55.856462","1","Heartbleed"
"165.231.171.194",,"2017-08-28T15:08:45.718064","1","Heartbleed"
"196.196.218.86","AS63119","2017-08-28T15:07:51.373248","1","Heartbleed"
"165.231.172.66",,"2017-08-28T15:07:39.897319","1","Heartbleed"
"196.196.218.34","AS63119","2017-08-28T15:07:15.954840","1","Heartbleed"
"165.231.162.59","AS63119","2017-08-28T15:06:17.839358","1","Heartbleed"
"165.231.173.225",,"2017-08-28T15:01:35.973990","1","Heartbleed"
"213.168.27.75","AS3249","2017-08-28T15:01:31.026070","1","Heartbleed"
"196.196.218.79","AS63119","2017-08-28T14:57:18.789639","1","Heartbleed"
"196.196.223.146",,"2017-08-28T14:55:42.684933","1","Heartbleed"
"196.196.221.124","AS63119","2017-08-28T14:54:55.147931","1","Heartbleed"
"196.196.218.180","AS63119","2017-08-28T14:53:36.723470","1","Heartbleed"
"196.196.216.169","AS63119","2017-08-28T14:50:24.450033","1","Heartbleed"
"196.196.217.70","AS63119","2017-08-28T14:50:19.626515","1","Heartbleed"
"165.231.174.138",,"2017-08-28T14:49:14.898784","1","Heartbleed"
"196.196.221.107","AS63119","2017-08-28T14:45:28.495249","1","Heartbleed"
"196.196.218.233","AS63119","2017-08-28T14:43:03.957861","1","Heartbleed"
"165.231.163.32","AS63119","2017-08-28T14:42:38.760222","1","Heartbleed"
"165.231.173.80",,"2017-08-28T14:41:20.254934","1","Heartbleed"
"196.196.218.80","AS63119","2017-08-28T14:40:41.664942","1","Heartbleed"
"165.231.174.198",,"2017-08-28T14:39:25.178538","1","Heartbleed"
"165.231.174.138",,"2017-08-28T14:37:41.485006","1","Heartbleed"
"198.50.185.116","AS16276","2017-08-28T14:34:36.633699","1","Heartbleed"
"196.196.218.241","AS63119","2017-08-28T14:34:16.065035","1","Heartbleed"
"196.196.223.85",,"2017-08-28T14:31:01.404343","1","Heartbleed"
"196.196.216.210","AS63119","2017-08-28T14:29:54.127022","1","Heartbleed"
"196.196.218.10","AS63119","2017-08-28T14:27:07.864208","1","Heartbleed"
"80.79.113.251","AS34702","2017-08-28T14:24:45.977459","1","Heartbleed"
"165.231.163.45","AS63119","2017-08-28T14:24:42.910355","1","Heartbleed"
"80.79.113.38","AS34702","2017-08-28T14:23:56.589086","1","Heartbleed"
"196.196.216.181","AS63119","2017-08-28T14:23:46.942321","1","Heartbleed"
